FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,RSTDE_GUID_CN,OPER_TIME,PARKNG_POSBL_AT,UTILIIZA_PRC_CN,PET_POSBL_AT,PET_INFO_CN,ENTRN_POSBL_PET_SIZE_VALUE,PET_LMTT_MTR_CN,IN_PLACE_ACP_POSBL_AT,OUT_PLACE_ACP_POSBL_AT,FCLTY_INFO_DC,PET_ACP_ADIT_CHRGE_VALUE,LAST_UPDT_DE
1004 약국,반려동물업,반려의료,동물약국,경기도,고양시 덕양구,동산동,,352-1 번지,동세로,19,37.64454276,126.886336,10598,경기도 고양시 덕양구 동세로 19,경기도 고양시 덕양구 동산동 352-1,(02) 381-5052,,매주 토 일 법정공휴일,월~금 09:00~18:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
1004섬수석미술관,반려동물업,반려동반여행,미술관,전라남도,신안군,자은면,백산리,633-54 번지,자은서부2길,508-68,34.8800925,125.996874,58831,전라남도 신안군 자은면 자은서부2길 508-68,전라남도 신안군 자은면 백산리 633-54,(061) 240-8359,http://tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_01/page.wscms,매주 월요일,화~일 09:00~18:00,Y,없음,N,해당없음,해당없음,해당없음,Y,Y,미술관,없음,20221130
100세건강약국,반려동물업,반려의료,동물약국,경기도,안양시 만안구,안양동,,856-4 번지,안양로,408,37.40715043,126.914837,13989,경기도 안양시 만안구 안양로 408,경기도 안양시 만안구 안양동 856-4,(031) 465-1320,,매주 일요일 법정공휴일,월~금 09:00~21:00 토 09:00~20:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
100세약국,반려동물업,반려의료,동물약국,서울특별시,영등포구,당산2동,,217-4 번지,양평로,24,37.53325958,126.903741,7223,서울특별시 영등포구 양평로 24,서울특별시 영등포구 당산동6가 217-4,(022) 678-8217,,매주 일요일 법정공휴일,월~금 08:30~21:00 토 08:30~18:30,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
100세약국,반려동물업,반려의료,동물약국,경기도,수원시 팔달구,인계동,,942-4 번지,경수대로,568,37.27627151,127.030911,16484,경기도 수원시 팔달구 경수대로 568,경기도 수원시 팔달구 인계동 942-4,(031) 239-4801,,매주 일요일 법정공휴일,월~금 09:00~19:00 토 09:00~15:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
100세약국,반려동물업,반려의료,동물약국,인천광역시,남동구,간석동,,207-3 번지,남동대로,892,37.4620717,126.708644,21545,인천광역시 남동구 남동대로 892,인천광역시 남동구 간석동 207-3,(032) 427-7585,,매주 토 일,월~금 08:30~22:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
100코달리 와인바,반려동물업,반려동물식당카페,카페,서울특별시,중구,신당동,,292-152 번지,다산로38길,11,37.56330525,127.016417,4585,서울특별시 중구 다산로38길 11,서울특별시 중구 신당동 292-152,(0507) 1346-6774,http://instagram.com/100caudalie,매주 월요일,화~일 18:00~02:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,애견카페,없음,20221130
100평 광장약국,반려동물업,반려의료,동물약국,경기도,의정부시,금오동,,441-65 번지,동일로,732,37.75195739,127.049286,11758,경기도 의정부시 동일로 732,경기도 의정부시 금오동 441-65,(031) 847-1269,,매주 토 일 법정공휴일,월~금 10:00~18:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
107page,반려동물업,반려동물식당카페,카페,경상북도,구미시,봉곡동,,56-2 번지,봉곡서로,87-34,36.15863384,128.30627,39204,경상북도 구미시 봉곡서로 87-34,경상북도 구미시 봉곡동 56-2,(0507) 1331-7179,https://www.instagram.com/107page/,매주 월요일,화~일 12:00~22:00,N,변동,Y,해당없음,모두 가능,마당 1층만 입장 가능 목줄 배변봉투,Y,Y,애견카페,없음,20221130
119동물병원,반려동물업,반려의료,동물병원,대구광역시,달성군,다사읍,매곡리,1551-1 번지,달구벌대로,893,35.85715733,128.466544,42913,대구광역시 달성군 다사읍 달구벌대로 893,대구광역시 달성군 다사읍 매곡리 1551-1,(053) 585-1195,https://119animal.modoo.at/,연중무휴,월~금 09:30~18:30 토 09:30~16:00 일 12:00~12:30 법정공휴일 09:30~16:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,20221130
153약국,반려동물업,반려의료,동물약국,세종특별자치시,,종촌동,,668 번지,달빛로,43,36.50271902,127.250023,30064,세종특별자치시 달빛로 43,세종특별자치시 종촌동 668,(0507) 1369-1531,,매주 일요일 법정공휴일,월~금 09:00~18:00 토 09:00~13:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
1723 카페,반려동물업,반려동물식당카페,카페,전라북도,전주시 완산구,교동,,98-2 번지,오목대길,83,35.81263594,127.151717,55044,전라북도 전주시 완산구 오목대길 83,전라북도 전주시 완산구 교동 98-2,(063) 288-1723,http://blog.naver.com/cafe1723,연중무휴,매일 10:30~22:00,N,변동,Y,해당없음,모두 가능,야외테라스만 동반 가능,Y,Y,애견카페,없음,20221130
1919봄,반려동물업,반려동물식당카페,카페,경상남도,밀양시,산외면,금천리,810-4 번지,산외로,191,35.50542551,128.789995,50411,경상남도 밀양시 산외면 산외로 191,경상남도 밀양시 산외면 금천리 810-4,(0507) 1346-9661,https://www.instagram.com/1919spring/,매주 화요일,수~월 11:00~21:00,Y,변동,Y,해당없음,모두 가능,실외만 동반 가능,Y,Y,애견카페,없음,20221130
1974유달동미스박,반려동물업,반려동물식당카페,카페,전라남도,목포시,상동,,878-9 번지,비파로,61,34.80393238,126.425756,58690,전라남도 목포시 비파로 61,전라남도 목포시 상동 878-9,(061) 285-1974,https://www.instagram.com/misspark171/,매주 월요일,화~일 11:00~23:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,애견카페,없음,20221130
1번가온누리약국,반려동물업,반려의료,동물약국,강원도,평창군,진부면,하진부리,101 번지,진부중앙로,Feb-74,37.6376755,128.559285,25332,강원도 평창군 진부면 진부중앙로 74-2,강원도 평창군 진부면 하진부리 101,(033) 333-7300,,연중무휴,월~화 08:40~18:00 수 08:30~21:30 목~금 08:30~17:30 토~일 법정공휴일 08:30~13:30,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
1층메디컬약국,반려동물업,반려의료,동물약국,서울특별시,금천구,시흥동,,889-8 번지,시흥대로,214,37.45304289,126.901712,8628,서울특별시 금천구 시흥대로 214,서울특별시 금천구 시흥동 889-8,(02) 891-1112,,연중무휴,월~수 금 09:00~20:00 목 09:00~20:30 토 09:00~15:30 일 09:00~13:30 법정공휴일 10:00~16:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,20221130
