CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM
강원도,강릉시,강동면
강원도,강릉시,강동면
강원도,강릉시,강동면
강원도,강릉시,강문동
강원도,강릉시,강문동
강원도,강릉시,견소동
강원도,강릉시,견소동
강원도,강릉시,견소동
강원도,강릉시,견소동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,교동
강원도,강릉시,구정면
강원도,강릉시,구정면
강원도,강릉시,구정면
강원도,강릉시,금학동
강원도,강릉시,금학동
강원도,강릉시,남항진동
강원도,강릉시,남항진동
강원도,강릉시,내곡동
강원도,강릉시,내곡동
강원도,강릉시,내곡동
강원도,강릉시,내곡동
강원도,강릉시,노암동
강원도,강릉시,노암동
강원도,강릉시,사천면
강원도,강릉시,사천면
강원도,강릉시,사천면
강원도,강릉시,사천면
강원도,강릉시,사천면
강원도,강릉시,사천면
강원도,강릉시,사천면
강원도,강릉시,성산면
강원도,강릉시,성산면
강원도,강릉시,성산면
강원도,강릉시,송정동
강원도,강릉시,송정동
강원도,강릉시,안현동
강원도,강릉시,안현동
강원도,강릉시,연곡면
강원도,강릉시,연곡면
강원도,강릉시,연곡면
강원도,강릉시,연곡면
강원도,강릉시,옥계면
강원도,강릉시,옥천동
강원도,강릉시,옥천동
강원도,강릉시,옥천동
강원도,강릉시,옥천동
강원도,강릉시,옥천동
강원도,강릉시,옥천동
강원도,강릉시,옥천동
강원도,강릉시,옥천동
강원도,강릉시,왕산면
강원도,강릉시,운정동
강원도,강릉시,운정동
강원도,강릉시,유천동
강원도,강릉시,임당동
강원도,강릉시,임당동
강원도,강릉시,임당동
강원도,강릉시,임당동
강원도,강릉시,임당동
강원도,강릉시,입암동
강원도,강릉시,입암동
강원도,강릉시,입암동
강원도,강릉시,입암동
강원도,강릉시,입암동
강원도,강릉시,입암동
강원도,강릉시,입암동
강원도,강릉시,저동
강원도,강릉시,저동
강원도,강릉시,저동
강원도,강릉시,주문진읍
강원도,강릉시,주문진읍
강원도,강릉시,주문진읍
강원도,강릉시,주문진읍
강원도,강릉시,주문진읍
강원도,강릉시,주문진읍
강원도,강릉시,주문진읍
강원도,강릉시,주문진읍
강원도,강릉시,죽헌동
강원도,강릉시,죽헌동
강원도,강릉시,지변동
강원도,강릉시,지변동
강원도,강릉시,초당동
강원도,강릉시,초당동
강원도,강릉시,초당동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,포남동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,홍제동
강원도,강릉시,
강원도,고성군,간성읍
강원도,고성군,간성읍
강원도,고성군,간성읍
강원도,고성군,간성읍
강원도,고성군,간성읍
강원도,고성군,간성읍
강원도,고성군,거진읍
강원도,고성군,거진읍
강원도,고성군,거진읍
강원도,고성군,죽왕면
강원도,고성군,죽왕면
강원도,고성군,죽왕면
강원도,고성군,죽왕면
강원도,고성군,토성면
강원도,고성군,토성면
강원도,고성군,토성면
강원도,고성군,토성면
강원도,고성군,토성면
강원도,고성군,토성면
강원도,고성군,토성면
강원도,고성군,현내면
강원도,고성군,현내면
강원도,고성군,
강원도,동해시,나안동
강원도,동해시,동회동
강원도,동해시,망상동
강원도,동해시,묵호진동
강원도,동해시,발한동
강원도,동해시,부곡동
강원도,동해시,삼화동
강원도,동해시,쇄운동
강원도,동해시,쇄운동
강원도,동해시,쇄운동
강원도,동해시,어달동
강원도,동해시,지흥동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,천곡동
강원도,동해시,추암동
강원도,동해시,효가동
강원도,동해시,효가동
강원도,삼척시,갈천동
